period,geography_name,geography_level,variable,value,unit,source,publication_date,as_of_date,notes
2023-10-01,ХМАО,REGION,consumer_spending_real_proxy,104.369,index,SYNTHETIC_DEMO,2023-11-10,2023-11-10,"synthetic test only"
2023-11-01,ХМАО,REGION,cpi_index,104.908,index,SYNTHETIC_DEMO,2023-12-10,2023-12-10,"synthetic test only"
2023-11-01,ХМАО,REGION,fuel_price_index,103.081,index,SYNTHETIC_DEMO,2023-12-10,2023-12-10,"synthetic test only"
2023-11-01,ХМАО,REGION,income_index,107.838,index,SYNTHETIC_DEMO,2023-12-10,2023-12-10,"synthetic test only"
2023-11-01,ХМАО,REGION,consumer_spending_real_proxy,104.250,index,SYNTHETIC_DEMO,2023-12-10,2023-12-10,"synthetic test only"
2023-12-01,ХМАО,REGION,cpi_index,105.475,index,SYNTHETIC_DEMO,2024-01-10,2024-01-10,"synthetic test only"
2023-12-01,ХМАО,REGION,fuel_price_index,102.747,index,SYNTHETIC_DEMO,2024-01-10,2024-01-10,"synthetic test only"
2023-12-01,ХМАО,REGION,income_index,108.234,index,SYNTHETIC_DEMO,2024-01-10,2024-01-10,"synthetic test only"
2023-12-01,ХМАО,REGION,consumer_spending_real_proxy,104.225,index,SYNTHETIC_DEMO,2024-01-10,2024-01-10,"synthetic test only"
2024-01-01,ХМАО,REGION,cpi_index,106.158,index,SYNTHETIC_DEMO,2024-02-10,2024-02-10,"synthetic test only"
2024-01-01,ХМАО,REGION,fuel_price_index,102.535,index,SYNTHETIC_DEMO,2024-02-10,2024-02-10,"synthetic test only"
2024-01-01,ХМАО,REGION,income_index,108.598,index,SYNTHETIC_DEMO,2024-02-10,2024-02-10,"synthetic test only"
2024-01-01,ХМАО,REGION,consumer_spending_real_proxy,104.361,index,SYNTHETIC_DEMO,2024-02-10,2024-02-10,"synthetic test only"
2024-02-01,ХМАО,REGION,cpi_index,106.931,index,SYNTHETIC_DEMO,2024-03-10,2024-03-10,"synthetic test only"
2024-02-01,ХМАО,REGION,fuel_price_index,102.506,index,SYNTHETIC_DEMO,2024-03-10,2024-03-10,"synthetic test only"
2024-02-01,ХМАО,REGION,income_index,108.949,index,SYNTHETIC_DEMO,2024-03-10,2024-03-10,"synthetic test only"
2024-02-01,ХМАО,REGION,consumer_spending_real_proxy,104.704,index,SYNTHETIC_DEMO,2024-03-10,2024-03-10,"synthetic test only"
2024-03-01,ХМАО,REGION,cpi_index,107.748,index,SYNTHETIC_DEMO,2024-04-10,2024-04-10,"synthetic test only"
2024-03-01,ХМАО,REGION,fuel_price_index,102.702,index,SYNTHETIC_DEMO,2024-04-10,2024-04-10,"synthetic test only"
2024-03-01,ХМАО,REGION,income_index,109.309,index,SYNTHETIC_DEMO,2024-04-10,2024-04-10,"synthetic test only"
2024-03-01,ХМАО,REGION,consumer_spending_real_proxy,105.274,index,SYNTHETIC_DEMO,2024-04-10,2024-04-10,"synthetic test only"
2024-04-01,ХМАО,REGION,cpi_index,108.556,index,SYNTHETIC_DEMO,2024-05-10,2024-05-10,"synthetic test only"
2024-04-01,ХМАО,REGION,fuel_price_index,103.140,index,SYNTHETIC_DEMO,2024-05-10,2024-05-10,"synthetic test only"
2024-04-01,ХМАО,REGION,income_index,109.700,index,SYNTHETIC_DEMO,2024-05-10,2024-05-10,"synthetic test only"
2024-04-01,ХМАО,REGION,consumer_spending_real_proxy,106.061,index,SYNTHETIC_DEMO,2024-05-10,2024-05-10,"synthetic test only"
2024-05-01,ХМАО,REGION,cpi_index,109.301,index,SYNTHETIC_DEMO,2024-06-10,2024-06-10,"synthetic test only"
2024-05-01,ХМАО,REGION,fuel_price_index,103.811,index,SYNTHETIC_DEMO,2024-06-10,2024-06-10,"synthetic test only"
2024-05-01,ХМАО,REGION,income_index,110.140,index,SYNTHETIC_DEMO,2024-06-10,2024-06-10,"synthetic test only"
2024-05-01,ХМАО,REGION,consumer_spending_real_proxy,107.030,index,SYNTHETIC_DEMO,2024-06-10,2024-06-10,"synthetic test only"
2024-06-01,ХМАО,REGION,cpi_index,109.945,index,SYNTHETIC_DEMO,2024-07-10,2024-07-10,"synthetic test only"
2024-06-01,ХМАО,REGION,fuel_price_index,104.678,index,SYNTHETIC_DEMO,2024-07-10,2024-07-10,"synthetic test only"
2024-06-01,ХМАО,REGION,income_index,110.647,index,SYNTHETIC_DEMO,2024-07-10,2024-07-10,"synthetic test only"
2024-06-01,ХМАО,REGION,consumer_spending_real_proxy,108.122,index,SYNTHETIC_DEMO,2024-07-10,2024-07-10,"synthetic test only"
2024-07-01,ХМАО,REGION,cpi_index,110.468,index,SYNTHETIC_DEMO,2024-08-10,2024-08-10,"synthetic test only"
2024-07-01,ХМАО,REGION,fuel_price_index,105.685,index,SYNTHETIC_DEMO,2024-08-10,2024-08-10,"synthetic test only"
2024-07-01,ХМАО,REGION,income_index,111.231,index,SYNTHETIC_DEMO,2024-08-10,2024-08-10,"synthetic test only"
2024-07-01,ХМАО,REGION,consumer_spending_real_proxy,109.261,index,SYNTHETIC_DEMO,2024-08-10,2024-08-10,"synthetic test only"
2024-08-01,ХМАО,REGION,cpi_index,110.876,index,SYNTHETIC_DEMO,2024-09-10,2024-09-10,"synthetic test only"
2024-08-01,ХМАО,REGION,fuel_price_index,106.760,index,SYNTHETIC_DEMO,2024-09-10,2024-09-10,"synthetic test only"
2024-08-01,ХМАО,REGION,income_index,111.901,index,SYNTHETIC_DEMO,2024-09-10,2024-09-10,"synthetic test only"
2024-08-01,ХМАО,REGION,consumer_spending_real_proxy,110.367,index,SYNTHETIC_DEMO,2024-09-10,2024-09-10,"synthetic test only"
2024-09-01,ХМАО,REGION,cpi_index,111.197,index,SYNTHETIC_DEMO,2024-10-10,2024-10-10,"synthetic test only"
2024-09-01,ХМАО,REGION,fuel_price_index,107.823,index,SYNTHETIC_DEMO,2024-10-10,2024-10-10,"synthetic test only"
2024-09-01,ХМАО,REGION,income_index,112.658,index,SYNTHETIC_DEMO,2024-10-10,2024-10-10,"synthetic test only"
2024-09-01,ХМАО,REGION,consumer_spending_real_proxy,111.364,index,SYNTHETIC_DEMO,2024-10-10,2024-10-10,"synthetic test only"
2024-10-01,ХМАО,REGION,cpi_index,111.478,index,SYNTHETIC_DEMO,2024-11-10,2024-11-10,"synthetic test only"
2024-10-01,ХМАО,REGION,fuel_price_index,108.795,index,SYNTHETIC_DEMO,2024-11-10,2024-11-10,"synthetic test only"
2024-10-01,ХМАО,REGION,income_index,113.497,index,SYNTHETIC_DEMO,2024-11-10,2024-11-10,"synthetic test only"
2024-10-01,ХМАО,REGION,consumer_spending_real_proxy,112.188,index,SYNTHETIC_DEMO,2024-11-10,2024-11-10,"synthetic test only"
2024-11-01,ХМАО,REGION,cpi_index,111.774,index,SYNTHETIC_DEMO,2024-12-10,2024-12-10,"synthetic test only"
2024-11-01,ХМАО,REGION,fuel_price_index,109.608,index,SYNTHETIC_DEMO,2024-12-10,2024-12-10,"synthetic test only"
2024-11-01,ХМАО,REGION,income_index,114.412,index,SYNTHETIC_DEMO,2024-12-10,2024-12-10,"synthetic test only"
2024-11-01,ХМАО,REGION,consumer_spending_real_proxy,112.800,index,SYNTHETIC_DEMO,2024-12-10,2024-12-10,"synthetic test only"
2024-12-01,ХМАО,REGION,cpi_index,112.136,index,SYNTHETIC_DEMO,2025-01-10,2025-01-10,"synthetic test only"
2024-12-01,ХМАО,REGION,fuel_price_index,110.212,index,SYNTHETIC_DEMO,2025-01-10,2025-01-10,"synthetic test only"
2024-12-01,ХМАО,REGION,income_index,115.388,index,SYNTHETIC_DEMO,2025-01-10,2025-01-10,"synthetic test only"
2024-12-01,ХМАО,REGION,consumer_spending_real_proxy,113.184,index,SYNTHETIC_DEMO,2025-01-10,2025-01-10,"synthetic test only"
2025-01-01,ХМАО,REGION,cpi_index,112.602,index,SYNTHETIC_DEMO,2025-02-10,2025-02-10,"synthetic test only"
2025-01-01,ХМАО,REGION,fuel_price_index,110.577,index,SYNTHETIC_DEMO,2025-02-10,2025-02-10,"synthetic test only"
2025-01-01,ХМАО,REGION,income_index,116.409,index,SYNTHETIC_DEMO,2025-02-10,2025-02-10,"synthetic test only"
2025-01-01,ХМАО,REGION,consumer_spending_real_proxy,113.356,index,SYNTHETIC_DEMO,2025-02-10,2025-02-10,"synthetic test only"
2025-02-01,ХМАО,REGION,cpi_index,113.190,index,SYNTHETIC_DEMO,2025-03-10,2025-03-10,"synthetic test only"
2025-02-01,ХМАО,REGION,fuel_price_index,110.702,index,SYNTHETIC_DEMO,2025-03-10,2025-03-10,"synthetic test only"
2025-02-01,ХМАО,REGION,income_index,117.454,index,SYNTHETIC_DEMO,2025-03-10,2025-03-10,"synthetic test only"
2025-02-01,ХМАО,REGION,consumer_spending_real_proxy,113.357,index,SYNTHETIC_DEMO,2025-03-10,2025-03-10,"synthetic test only"
2025-03-01,ХМАО,REGION,cpi_index,113.892,index,SYNTHETIC_DEMO,2025-04-10,2025-04-10,"synthetic test only"
2025-03-01,ХМАО,REGION,fuel_price_index,110.613,index,SYNTHETIC_DEMO,2025-04-10,2025-04-10,"synthetic test only"
2025-03-01,ХМАО,REGION,income_index,118.501,index,SYNTHETIC_DEMO,2025-04-10,2025-04-10,"synthetic test only"
2025-03-01,ХМАО,REGION,consumer_spending_real_proxy,113.250,index,SYNTHETIC_DEMO,2025-04-10,2025-04-10,"synthetic test only"
2025-04-01,ХМАО,REGION,cpi_index,114.676,index,SYNTHETIC_DEMO,2025-05-10,2025-05-10,"synthetic test only"
2025-04-01,ХМАО,REGION,fuel_price_index,110.357,index,SYNTHETIC_DEMO,2025-05-10,2025-05-10,"synthetic test only"
2025-04-01,ХМАО,REGION,income_index,119.530,index,SYNTHETIC_DEMO,2025-05-10,2025-05-10,"synthetic test only"
2025-04-01,ХМАО,REGION,consumer_spending_real_proxy,113.111,index,SYNTHETIC_DEMO,2025-05-10,2025-05-10,"synthetic test only"
2025-05-01,ХМАО,REGION,cpi_index,115.496,index,SYNTHETIC_DEMO,2025-06-10,2025-06-10,"synthetic test only"
2025-05-01,ХМАО,REGION,fuel_price_index,110.001,index,SYNTHETIC_DEMO,2025-06-10,2025-06-10,"synthetic test only"
2025-05-01,ХМАО,REGION,income_index,120.520,index,SYNTHETIC_DEMO,2025-06-10,2025-06-10,"synthetic test only"
2025-05-01,ХМАО,REGION,consumer_spending_real_proxy,113.021,index,SYNTHETIC_DEMO,2025-06-10,2025-06-10,"synthetic test only"
2025-06-01,ХМАО,REGION,cpi_index,116.296,index,SYNTHETIC_DEMO,2025-07-10,2025-07-10,"synthetic test only"
2025-06-01,ХМАО,REGION,fuel_price_index,109.623,index,SYNTHETIC_DEMO,2025-07-10,2025-07-10,"synthetic test only"
2025-06-01,ХМАО,REGION,income_index,121.452,index,SYNTHETIC_DEMO,2025-07-10,2025-07-10,"synthetic test only"
2025-06-01,ХМАО,REGION,consumer_spending_real_proxy,110.255,index,SYNTHETIC_DEMO,2025-07-10,2025-07-10,"synthetic test only"
2025-07-01,ХМАО,REGION,cpi_index,117.026,index,SYNTHETIC_DEMO,2025-08-10,2025-08-10,"synthetic test only"
2025-07-01,ХМАО,REGION,fuel_price_index,109.303,index,SYNTHETIC_DEMO,2025-08-10,2025-08-10,"synthetic test only"
2025-07-01,ХМАО,REGION,income_index,122.313,index,SYNTHETIC_DEMO,2025-08-10,2025-08-10,"synthetic test only"
2025-07-01,ХМАО,REGION,consumer_spending_real_proxy,107.671,index,SYNTHETIC_DEMO,2025-08-10,2025-08-10,"synthetic test only"
2025-08-01,ХМАО,REGION,cpi_index,117.649,index,SYNTHETIC_DEMO,2025-09-10,2025-09-10,"synthetic test only"
2025-08-01,ХМАО,REGION,fuel_price_index,109.115,index,SYNTHETIC_DEMO,2025-09-10,2025-09-10,"synthetic test only"
2025-08-01,ХМАО,REGION,income_index,123.092,index,SYNTHETIC_DEMO,2025-09-10,2025-09-10,"synthetic test only"
2025-08-01,ХМАО,REGION,consumer_spending_real_proxy,105.305,index,SYNTHETIC_DEMO,2025-09-10,2025-09-10,"synthetic test only"
2025-09-01,ХМАО,REGION,cpi_index,118.151,index,SYNTHETIC_DEMO,2025-10-10,2025-10-10,"synthetic test only"
2025-09-01,ХМАО,REGION,fuel_price_index,109.118,index,SYNTHETIC_DEMO,2025-10-10,2025-10-10,"synthetic test only"
2025-09-01,ХМАО,REGION,income_index,123.785,index,SYNTHETIC_DEMO,2025-10-10,2025-10-10,"synthetic test only"
2025-09-01,ХМАО,REGION,consumer_spending_real_proxy,103.166,index,SYNTHETIC_DEMO,2025-10-10,2025-10-10,"synthetic test only"
2025-10-01,ХМАО,REGION,cpi_index,118.540,index,SYNTHETIC_DEMO,2025-11-10,2025-11-10,"synthetic test only"
2025-10-01,ХМАО,REGION,fuel_price_index,109.350,index,SYNTHETIC_DEMO,2025-11-10,2025-11-10,"synthetic test only"
2025-10-01,ХМАО,REGION,income_index,124.392,index,SYNTHETIC_DEMO,2025-11-10,2025-11-10,"synthetic test only"
2025-10-01,ХМАО,REGION,consumer_spending_real_proxy,101.233,index,SYNTHETIC_DEMO,2025-11-10,2025-11-10,"synthetic test only"
2025-11-01,ХМАО,REGION,cpi_index,118.850,index,SYNTHETIC_DEMO,2025-12-10,2025-12-10,"synthetic test only"
2025-11-01,ХМАО,REGION,fuel_price_index,109.824,index,SYNTHETIC_DEMO,2025-12-10,2025-12-10,"synthetic test only"
2025-11-01,ХМАО,REGION,income_index,124.918,index,SYNTHETIC_DEMO,2025-12-10,2025-12-10,"synthetic test only"
2025-11-01,ХМАО,REGION,consumer_spending_real_proxy,99.460,index,SYNTHETIC_DEMO,2025-12-10,2025-12-10,"synthetic test only"
2025-12-01,ХМАО,REGION,cpi_index,119.130,index,SYNTHETIC_DEMO,2026-01-10,2026-01-10,"synthetic test only"
2025-12-01,ХМАО,REGION,fuel_price_index,110.527,index,SYNTHETIC_DEMO,2026-01-10,2026-01-10,"synthetic test only"
2025-12-01,ХМАО,REGION,income_index,125.375,index,SYNTHETIC_DEMO,2026-01-10,2026-01-10,"synthetic test only"
2025-12-01,ХМАО,REGION,consumer_spending_real_proxy,97.781,index,SYNTHETIC_DEMO,2026-01-10,2026-01-10,"synthetic test only"
